gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,85.9,-107.3,30.5,-154.1,10.8,-16.3
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00000,-78,8,1760326423,319010555,30.6,49.3
AN0,00000,-84,2,1760326423,319010463,30.6,49.3
AN1,00000,-78,4,1760326423,319011106,30.6,49.3
GW0,00001,-73,8,1760326454,320804785,30.6,49.3
AN0,00001,-90,-2,1760326454,320804738,30.6,49.3
AN1,00001,-79,6,1760326454,320805028,30.6,49.3
GW0,00002,-71,8,1760326484,322863625,30.5,49.0
AN0,00002,-89,-2,1760326484,322863819,30.5,49.0
AN1,00002,-79,6,1760326484,322864245,30.5,48.9
GW0,00003,-71,8,1760326514,324839915,30.2,49.2
AN0,00003,-90,0,1760326514,324840063,30.2,49.2
AN1,00003,-80,5,1760326514,324840658,30.2,49.2
GW0,00004,-71,7,1760326544,326616389,30.1,50.1
AN0,00004,-92,-2,1760326544,326616642,30.1,50.1
AN1,00004,-78,5,1760326544,326617002,30.1,50.1
GW0,00005,-71,7,1760326574,327714100,30.2,49.6
AN0,00005,-96,-5,1760326574,327714368,30.2,49.6
AN1,00005,-80,6,1760326574,327714636,30.2,49.6
GW0,00006,-70,7,1760326604,328814705,30.1,50.5
AN0,00006,-96,-5,1760326604,328814602,30.1,50.5
AN1,00006,-79,6,1760326604,328815384,30.1,50.5
GW0,00007,-71,8,1760326634,330261064,30.4,50.4
AN0,00007,-90,-2,1760326634,330261047,30.4,50.4
AN1,00007,-78,5,1760326634,330261359,30.4,50.4
GW0,00008,-70,8,1760326664,330732192,30.8,49.7
AN0,00008,-94,-3,1760326664,330732038,30.8,49.7
AN1,00008,-79,5,1760326664,330732554,30.8,49.7
GW0,00009,-73,8,1760326694,331585542,30.9,48.7
AN0,00009,-92,-4,1760326694,331585733,30.9,48.7
AN1,00009,-78,5,1760326694,331586269,30.9,48.7
GW0,00010,-70,8,1760326724,333167437,31.2,49.0
AN0,00010,-92,-2,1760326724,333167526,31.2,49.0
AN1,00010,-79,6,1760326724,333168401,31.2,49.0
GW0,00011,-71,8,1760326754,333918256,31.0,48.7
AN0,00011,-94,-3,1760326754,333917856,31.0,48.7
AN1,00011,-78,5,1760326754,333918866,31.0,48.7
GW0,00012,-71,7,1760326784,335085345,30.8,48.0
AN0,00012,-90,0,1760326784,335085438,30.8,48.0
AN1,00012,-78,5,1760326784,335086101,30.8,48.0
GW0,00013,-73,8,1760326814,337342347,30.7,48.3
AN0,00013,-93,-2,1760326814,337342671,30.7,48.3
AN1,00013,-80,5,1760326814,337342934,30.7,48.3
GW0,00014,-73,8,1760326845,58887506,30.5,49.5
AN0,00014,-91,-1,1760326845,58883945,30.5,49.5
AN1,00014,-79,4,1760326845,58884176,30.5,49.5
GW0,00015,-71,8,1760326874,339569508,30.4,49.6
AN0,00015,-89,-2,1760326874,339569738,30.4,49.6
AN1,00015,-80,4,1760326874,339570050,30.4,49.6
