gw0_x,gw0_y,an0_x,an0_y,an1_x,an1_y,en0_x,en0_y
0,0,0,0,0,0,0,8
node_id,packet_id,rssi,snr,timestamp,ticks,temp,humi
GW0,00115,-80,7,1760675118,52416943,42.0,27.8
AN0,00115,-74,8,1760675118,52412240,42.0,27.8
AN1,00115,-83,6,1760675118,52412408,42.0,27.8
GW0,00116,-76,8,1760675148,48200422,42.9,26.4
AN0,00116,-74,8,1760675148,48195531,42.9,26.4
AN1,00116,-86,5,1760675148,48195705,42.9,26.4
GW0,00117,-76,8,1760675177,323787111,42.8,26.4
AN0,00117,-71,7,1760675177,323787061,42.8,26.5
AN1,00117,-80,6,1760675177,323786701,42.8,26.5
GW0,00118,-77,8,1760675207,320402596,42.8,25.9
AN0,00118,-74,7,1760675207,320402522,42.8,25.9
AN1,00118,-81,6,1760675207,320402544,42.8,25.9
GW0,00119,-76,8,1760675237,317321279,42.4,26.8
AN0,00119,-74,8,1760675237,317320826,42.4,26.8
AN1,00119,-84,6,1760675237,317320794,42.4,26.8
GW0,00120,-77,8,1760675267,314732666,42.7,26.2
AN0,00120,-73,8,1760675267,314732231,42.7,26.2
AN1,00120,-85,5,1760675267,314732386,42.7,26.2
GW0,00121,-81,8,1760675297,311931969,42.4,25.9
AN0,00121,-73,8,1760675297,311931602,42.4,25.9
AN1,00121,-82,7,1760675297,311931681,42.4,25.9
GW0,00122,-75,8,1760675327,308644236,41.9,27.0
AN0,00122,-74,8,1760675327,308644165,41.9,27.0
AN1,00122,-85,6,1760675327,308644461,41.9,27.0
GW0,00123,-79,8,1760675357,305203400,41.8,27.1
AN0,00123,-71,7,1760675357,305203037,41.8,27.1
AN1,00123,-82,7,1760675357,305203270,41.8,27.1
GW0,00124,-76,7,1760675387,301129239,41.8,27.1
AN0,00124,-71,7,1760675387,301128779,41.8,27.1
AN1,00124,-82,7,1760675387,301128635,41.8,27.1
GW0,00125,-78,7,1760675417,297965674,41.3,26.1
AN0,00125,-73,6,1760675417,297965055,41.3,26.1
AN1,00125,-83,6,1760675417,297965156,41.3,26.1
GW0,00126,-77,8,1760675447,295394651,40.6,27.7
AN0,00126,-74,8,1760675447,295394298,40.6,27.7
AN1,00126,-83,7,1760675447,295394264,40.6,27.7
GW0,00127,-80,8,1760675477,293653605,40.8,28.7
AN0,00127,-73,8,1760675477,293653346,40.8,28.7
AN1,00127,-83,7,1760675477,293653211,40.8,28.7
GW0,00128,-79,7,1760675507,290808053,40.9,28.5
AN0,00128,-71,8,1760675507,290807637,40.9,28.5
AN1,00128,-86,5,1760675507,290807650,40.9,28.5
GW0,00129,-79,8,1760675537,287992848,41.4,28.0
AN0,00129,-69,7,1760675537,287992793,41.4,28.0
AN1,00129,-84,6,1760675537,287992890,41.4,28.0
GW0,00130,-80,8,1760675567,285653791,41.3,27.6
AN0,00130,-74,8,1760675567,285653540,41.3,27.6
AN1,00130,-86,5,1760675567,285653223,41.3,27.6
GW0,00131,-79,8,1760675597,283040867,41.5,27.5
AN0,00131,-71,7,1760675597,283040302,41.5,27.5
AN1,00131,-85,5,1760675597,283040276,41.5,27.5
GW0,00132,-80,8,1760675627,280988050,41.7,27.3
AN0,00132,-71,7,1760675627,280987663,41.7,27.3
AN1,00132,-85,6,1760675627,280987860,41.7,27.3
GW0,00135,-78,7,1760675717,276173567,41.1,27.8
AN0,00135,-73,7,1760675717,276173207,41.1,27.8
AN1,00135,-79,7,1760675717,276173682,41.1,27.8
GW0,00136,-78,8,1760675747,274607362,40.9,27.7
AN0,00136,-70,7,1760675747,274607385,40.9,27.7
AN1,00136,-96,-2,1760675747,274607706,40.9,27.7
GW0,00137,-77,7,1760675777,273505566,41.2,27.8
AN0,00137,-71,7,1760675777,273505206,41.2,27.8
AN1,00137,-83,7,1760675777,273505230,41.2,27.8
GW0,00138,-77,8,1760675807,272427942,40.8,27.0
AN0,00138,-73,6,1760675807,272427922,40.7,27.1
AN1,00138,-81,6,1760675807,272428184,40.7,27.1
GW0,00139,-78,7,1760675837,270358074,39.8,28.6
AN0,00139,-71,8,1760675837,270357872,39.8,28.6
AN1,00139,-84,5,1760675837,270358102,39.8,28.6
GW0,00140,-78,8,1760675867,266969875,40.1,28.9
AN0,00140,-71,7,1760675867,266969566,40.1,28.8
AN1,00140,-85,5,1760675867,266969591,40.1,28.8
GW0,00141,-78,8,1760675897,263193596,40.5,28.3
AN0,00141,-71,3,1760675897,263193512,40.5,28.2
AN1,00141,-82,5,1760675897,263193577,40.5,28.2
GW0,00142,-77,8,1760675927,259732536,40.7,27.5
AN0,00142,-75,8,1760675927,259732521,40.7,27.5
AN1,00142,-85,5,1760675927,259732287,40.7,27.5
GW0,00143,-77,8,1760675957,257464811,40.7,28.2
AN0,00143,-73,8,1760675957,257464604,40.7,28.1
AN1,00143,-91,2,1760675957,257464546,40.7,28.1
GW0,00144,-76,7,1760675987,255013884,40.7,28.3
AN0,00144,-70,8,1760675987,255013879,40.7,28.3
AN1,00144,-97,-3,1760675987,255014375,40.7,28.4
GW0,00145,-78,8,1760676017,253293404,40.6,27.7
AN0,00145,-73,6,1760676017,253293095,40.6,27.7
AN1,00145,-85,6,1760676017,253293193,40.6,27.7
GW0,00146,-78,8,1760676047,250244198,40.2,28.4
AN0,00146,-70,8,1760676047,250244105,40.2,28.4
AN1,00146,-85,6,1760676047,250243893,40.2,28.4
GW0,00147,-76,7,1760676077,247669134,40.1,28.3
AN0,00147,-71,8,1760676077,247669163,40.1,28.4
AN1,00147,-83,6,1760676077,247668923,40.1,28.4
GW0,00148,-78,8,1760676107,246061271,39.5,28.9
AN0,00148,-73,8,1760676107,246061492,39.5,28.9
AN1,00148,-80,7,1760676107,246061159,39.5,28.9
GW0,00149,-79,7,1760676137,245121412,39.4,29.4
AN0,00149,-74,8,1760676137,245120850,39.4,29.5
AN1,00149,-85,6,1760676137,245120933,39.4,29.5
GW0,00150,-78,8,1760676167,243802096,38.9,29.2
AN0,00150,-74,7,1760676167,243802026,38.9,29.2
AN1,00150,-83,6,1760676167,243801833,38.9,29.2
GW0,00151,-78,8,1760676197,242753155,38.1,31.0
AN0,00151,-73,8,1760676197,242753002,38.1,31.0
AN1,00151,-96,-4,1760676197,242753098,38.1,31.0
GW0,00152,-78,8,1760676227,241626613,38.2,31.0
AN0,00152,-74,8,1760676227,241626002,38.2,31.0
AN1,00152,-84,6,1760676227,241626433,38.2,31.0
GW0,00153,-78,8,1760676257,240296450,38.7,30.7
AN0,00153,-70,7,1760676257,240296631,38.7,30.7
AN1,00153,-84,5,1760676257,240296512,38.7,30.7
GW0,00154,-78,8,1760676287,239989474,39.3,29.5
AN0,00154,-74,8,1760676287,239989357,39.3,29.5
AN1,00154,-86,5,1760676287,239989832,39.3,29.5
GW0,00155,-77,8,1760676317,241227777,40.2,29.3
AN0,00155,-70,7,1760676317,241227844,40.2,29.3
AN1,00155,-91,1,1760676317,241227881,40.2,29.3
